"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01015099999","2019-01-01","69.6","17.8333333","14.0","HEKKINGEN FYR, NO","  30.4","23","  22.8","23","9999.9"," 0","999.9"," 0","999.9"," 0"," 20.7","23"," 36.9","999.9","  34.0"," ","  26.6","*"," 0.00","I","999.9","000000"
"01016099999","2019-01-01","78.9333333","28.9","20.0","KONGSOYA, NO","   4.4","24","   0.0","24","1003.7","24","002.0","24","999.9"," 0"," 21.5","23"," 29.1","999.9","   7.7","*","   0.7"," "," 0.00","I","999.9","000000"
"01017099999","2019-01-01","77.6833333","14.7833333","6.0","AKSELOYA, SV","   5.3","24","  -4.1","24","1010.0","24","009.2","24","999.9"," 0","  7.7","23"," 13.6"," 15.0","   7.0","*","   3.6","*"," 0.00","I","999.9","000000"
"01020099999","2019-02-18","76.4833333","16.55","10.0","SORKAPPOYA, SV","  -6.8"," 6"," -18.5"," 6","1011.9"," 6","010.7"," 6","999.9"," 0"," 14.9"," 6"," 17.5","999.9","  -6.5","*","  -7.1","*"," 0.00","I","999.9","000000"
"01023099999","2019-01-01","69.055758","18.540356","76.8","BARDUFOSS, NO","  20.9","24","  15.8","24","9999.9"," 0","999.9"," 0","  5.2","24","  4.0","21"," 11.1","999.9","  27.7"," ","  12.2","*"," 0.00","G"," 14.2","001000"
"01024099999","2019-01-01","78.65","16.3666666","20.0","PYRAMIDEN, NO","   0.5","23"," -11.9","23","1009.7","23","008.3","23","999.9"," 0","  3.2","17","  7.8","999.9","   4.6"," ","  -2.2","*"," 0.00","I","999.9","000000"
"01025099999","2019-01-01","69.683333","18.918919","9.44","TROMSO, NO","  26.6","24","  20.5","24","9999.9"," 0","999.9"," 0","  6.7","22"," 12.5","24"," 22.0"," 26.0","  31.1"," ","  21.2","*"," 0.00","G","  6.7","001000"
"01026099999","2019-01-01","69.65","18.9333333","114.5","TROMSO, NO","  26.1","22","  21.2","22","1001.9","22","987.5","22"," 20.6"," 6","  9.0","22"," 15.9"," 29.7","  29.8"," ","  21.7","*"," 0.02","G"," 18.5","001000"
"01027099999","2019-01-01","69.65","18.9","20.0","TROMSO HOLT, NO","  27.5","24","  21.1","24","9999.9"," 0","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  31.6"," ","  23.2"," "," 0.04","E","999.9","000000"
"01028099999","2019-01-01","74.5166667","19.0166667","18.0","BJORNOYA ISLAND, NO","  18.3","21","   9.3","21","1006.0","21","004.0","21","  6.4","21"," 15.7","21"," 23.3","999.9","  19.9"," ","  16.5","*"," 0.00","G","999.9","001000"
"01030099999","2019-01-01","69.2833333","18.1333333","982.0","KISTEFJELL, NO","  14.6","22","9999.9"," 0","9999.9"," 0","999.9"," 0","999.9"," 0"," 18.3","22"," 32.2"," 55.2","  16.9"," ","  11.8"," "," 0.00","I","999.9","000000"
"01033099999","2019-01-01","70.25","19.5","24.0","TORSVAG FYR, NO","  28.8","24","  21.3","24","1001.6","24","998.6","24","999.9"," 0"," 20.6","24"," 33.0","999.9","  32.4"," ","  24.8","*"," 0.00","I","999.9","000000"
"01035099999","2019-01-03","69.5666666","20.1","710.0","LYNGEN GJERDVASSBU, NO","  27.5"," 5","9999.9"," 0","9999.9"," 0","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  33.6"," ","   9.9"," "," 0.00","I"," 39.0","000000"
"01036099999","2019-01-01","69.5666666","20.4333333","710.0","NORDNESFJELLET, NO","  15.7","24","9999.9"," 0"," 999.6","24","914.4","24","999.9"," 0"," 10.0","24"," 23.5"," 32.2","  20.3"," ","  11.7"," "," 0.00","I","999.9","000000"
"01037099999","2019-01-01","69.3833333","20.2833333","20.0","SKIBOTN 2, NO","  24.8","23","  18.9","23","1001.8","23","999.3","23","999.9"," 0","  4.2","23","  9.7","999.9","  28.9"," ","  20.1","*"," 0.00","I","999.9","000000"
"01042099999","2019-01-01","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","  20.0","24","  16.0","24","9999.9"," 0","999.9"," 0","999.9"," 0"," 28.5","24"," 42.7"," 53.6","  22.6"," ","  16.5","*"," 0.00","I","999.9","000000"
"01043099999","2019-01-01","70.4166666","22.8166666","10.0","ROGNSUNDET, NO","  27.2"," 5","9999.9"," 0","9999.9"," 0","999.9"," 0","999.9"," 0"," 11.5"," 5"," 21.4","999.9","  30.7"," ","  25.0"," "," 0.00","I","999.9","000000"
"01044099999","2019-01-01","70.486675","22.139744","6.4","HASVIK, NO","  28.0","24","  18.7","24"," 999.9","20","999.0","20","999.9"," 0"," 11.8","24"," 17.5"," 41.4","  30.4"," ","  23.0","*","99.99"," ","999.9","001000"
"01045099999","2019-01-01","69.8333333","21.8833333","6.0","NORDSTRAUM I KVAENANGEN, NO","  25.7","24","  20.4","24","9999.9"," 0","999.9"," 0","999.9"," 0"," 11.3","24"," 19.4"," 29.7","  29.7"," ","  21.2"," "," 0.00","G","999.9","000000"
"01046099999","2019-01-01","69.786839","20.959444","4.87","SORKJOSEN, NO","  25.0","24","  19.5","24","1001.0","20","000.4","20","  4.8"," 4","  8.8","24"," 22.0","999.9","  32.0"," ","  18.3"," ","99.99"," ","999.9","011100"
"01047099999","2019-01-01","69.0166667","23.0666667","307.0","KAUTOKEINO II, NO","  19.6"," 5","  15.7"," 5","1000.4"," 5","961.8"," 5"," 24.9"," 5","  9.7"," 5"," 13.6","999.9","  23.5"," ","   9.7"," "," 0.07","G"," 11.8","001000"
"01049099999","2019-01-01","69.976111","23.371667","2.74","ALTA, NO","  25.3","24","  18.4","24","9999.9"," 0","999.9"," 0","  5.1","24"," 11.9","24"," 21.4","999.9","  29.3"," ","  19.4","*"," 0.00","G","999.9","001000"
"01052099999","2019-01-01","70.6833333","23.6833333","81.0","HAMMERFEST AIRPORT, NO","  25.1","24","  18.4","24","9999.9"," 0","999.9"," 0","  4.9","24"," 16.6","24"," 26.0"," 34.0","  28.6"," ","  21.2","*"," 0.00","G","999.9","011000"
"01055099999","2019-01-01","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  28.0","24","  20.5","24","1000.7","24","998.9","24","999.9"," 0"," 27.6","24"," 38.9","999.9","  31.8"," ","  24.6","*"," 0.00","I","999.9","000000"
"01058099999","2019-01-01","69.5666666","23.5333333","381.0","SUOLOVUOPMI LULIT, NO","  16.6","23","  13.1","23"," 999.9","23","952.4","23","999.9"," 0","  8.5","23"," 13.6","999.9","  22.5"," ","   8.4","*"," 0.06","G"," 16.1","000000"
"01059099999","2019-01-01","70.068814","24.973489","7.62","BANAK, NO","  24.1","24","  17.7","24","9999.9"," 0","999.9"," 0","  5.3","21"," 14.5","24"," 25.1","999.9","  30.2","*","  17.6","*","99.99"," ","999.9","001000"
"01062099999","2019-01-01","76.5","25.0666667","10.0","HOPEN ISLAND, NO","  10.3","24","   3.7","24","1005.8","24","004.5","24","  8.4"," 8"," 10.7","24"," 15.7"," 28.6","  12.9"," ","   8.1"," "," 0.10","G","999.9","001000"
"01065099999","2019-01-01","69.4666666","25.5166666","133.0","KARASJOK, NO","  18.5","24","  14.3","24"," 998.6","24","982.0","24","999.9"," 0","  6.0","23"," 11.7","999.9","  26.2"," ","   5.7","*"," 0.07","G"," 11.4","000000"
"01068099999","2019-01-01","71.0166667","25.9833333","14.0","HONNINGSVAG VALAN, NO","  27.9","24","  20.7","24"," 997.1","15","995.9","16","  4.0"," 8"," 18.7","24"," 25.3"," 32.4","  32.2"," ","  23.0","*","99.99"," ","999.9","001000"
"01074099999","2019-01-01","71.0333333","27.8333333","13.0","MEHAMN, NO","  27.0","24","  16.0","24"," 997.6","20","996.1","20","  6.2"," 4"," 18.3","24"," 25.3","999.9","  29.8","*","  22.6","*"," 0.00","I","999.9","000000"
"01076099999","2019-01-01","70.2166666","28.1666666","32.0","TANABRU, NO","  22.0","24","  15.4","24"," 997.6","24","993.5","24","999.9"," 0","  7.5","24"," 15.5","999.9","  28.0"," ","  15.1"," "," 0.02","G","999.9","000000"
"01078099999","2019-01-01","71.1","28.2333333","10.0","SLETTNES FYR, NO","  28.8","24","  18.0","24"," 998.1","24","997.1","24","999.9"," 0"," 21.9","24"," 29.1","999.9","  32.0","*","  24.3","*"," 0.00","I","999.9","000000"
"01082099999","2019-01-01","69.15","29.25","56.0","NYRUD, NO","  15.6","23","  12.7","23"," 995.5","23","988.4","23","999.9"," 0","999.9"," 0","999.9","999.9","  24.8"," ","   6.4","*"," 0.07","G","999.9","000000"
"01083099999","2019-01-01","70.8666667","29.0333333","13.0","BERLEVAG, NO","  28.5","24","  18.8","24"," 996.5","19","994.8","19","  5.3"," 5"," 22.0","24"," 29.1"," 29.5","  30.4","*","  24.8"," ","99.99"," ","999.9","001000"
"01084099999","2019-01-01","69.45","30.0333333","27.0","PASVIK, NO","  17.1","24","  14.1","24","9999.9"," 0","999.9"," 0","999.9"," 0","  2.6","24","  7.0"," 26.6","  27.0"," ","   8.4"," "," 0.10","G","999.9","000000"
"01086099999","2019-01-01","70.600256","29.692678","149.35","BATSFJORD, NO","  24.0","24","  17.6","24"," 994.5","16","975.9","16","  4.7"," 8"," 19.8","24"," 29.1","999.9","  26.6","*","  20.7","*","99.99"," ","999.9","001000"
"01087599999","2019-01-01","59.5666666","2.2166666","90.0","HEIMDAL OIL PLATFORM, NO","  41.1","24","  30.1","24","9999.9"," 0","999.9"," 0","  5.9","24"," 46.7","24"," 59.1"," 74.0","  44.6","*","  37.4","*","99.99"," ","999.9","011010"
"01087699999","2019-01-01","66.0166666","8.0833333","90.0","NORNE OIL PLATFORM, NO","  37.7","24","  30.0","24","9999.9"," 0","999.9"," 0","  5.5","24"," 36.9","24"," 59.1"," 76.9","  42.8","*","  32.0","*","99.99"," ","999.9","011000"
"01087799999","2019-01-01","60.6333333","3.7166666","90.0","TROLL A OIL PLATFORM, NO","  40.4","24","  30.7","24","9999.9"," 0","999.9"," 0","  5.0","24"," 54.6","24"," 67.0"," 83.9","  44.6","*","  35.6","*","99.99"," ","999.9","010000"
"01087899999","2019-01-01","61.45","2.1333333","90.0","SNORRE A OIL PLATFORM, NO","  40.1","24","  29.8","22","9999.9"," 0","999.9"," 0","  5.5","24"," 51.0","24"," 72.1"," 83.9","  42.8","*","  35.6","*","99.99"," ","999.9","010000"
"01087999999","2019-01-01","61.5333333","2.2","90.0","SNORRE B OIL PLATFORM, NO","  40.1","24","  30.6","24","9999.9"," 0","999.9"," 0","  4.8","24"," 47.9","24"," 67.0"," 81.0","  44.6","*","  35.6","*"," 0.00","I","999.9","000000"
"01088099999","2019-01-01","70.0666667","29.85","39.0","VADSO, NO","  23.9","24","  18.1","24"," 991.1","11","986.3","11","  5.7","13"," 17.0","24"," 28.9","999.9","  28.4","*","  19.2"," ","99.99"," ","999.9","001000"
"01088299999","2019-01-01","62.578411","11.342347","626.05","ROROS, NO","  28.0","24","  26.7","24","9999.9"," 0","999.9"," 0","  3.3","24"," 17.1","24"," 29.9"," 47.0","  32.0","*","  24.8","*","99.99"," ","999.9","011000"
"01088699999","2019-01-01","58.3666666","1.9","30.0","SLEIPNER A OIL PLATFORM, NO","  43.8","24","  30.3","24","9999.9"," 0","999.9"," 0","  5.9","24"," 48.7","23"," 56.9"," 69.0","  48.2","*","  41.0","*","99.99"," ","999.9","010000"
"01088799999","2019-01-01","60.8858","3.6097","20.0","TROLL C OIL PLATFORM, NO","  41.3","24","  31.9","24","9999.9"," 0","999.9"," 0","  5.2","24"," 48.0","24"," 65.1"," 85.1","  44.6","*","  37.4","*","99.99"," ","999.9","010000"
"01089099999","2019-01-01","69.725611","29.893011","86.25","HOYBUKTMOEN, NO","  23.3","24","  17.7","24","9999.9"," 0","999.9"," 0","  5.1","19"," 12.8","24"," 24.1","999.9","  30.2","*","  12.6"," ","99.99"," ","999.9","001000"
"01092099999","2019-01-01","70.7","30.0833333","9.0","MAKKAUR FYR, NO","  29.1","24","  21.2","24","9999.9"," 0","999.9"," 0","999.9"," 0"," 19.5","24"," 25.3","999.9","  32.0","*","  25.5","*"," 0.00","I","999.9","000000"
"01098099999","2019-01-01","70.3666666","31.1","15.0","VARDO, NO","  28.0","24","  22.0","24"," 995.0","24","993.2","24","999.9"," 0"," 14.7","24"," 22.3"," 32.4","  31.6","*","  23.9"," "," 0.40","G","999.9","000000"
"01099099999","2019-01-01","70.355392","31.044889","12.8","VARDO AIRPORT SVARTNES, NO","  27.7","24","  22.5","24"," 993.4","15","991.8","15","  4.0"," 9"," 18.9","24"," 27.2"," 34.6","  32.0"," ","  21.2"," ","99.99"," ","999.9","001000"
"01102099999","2019-02-20","65.2","11.0","16.0","SKLINNA FYR, NO","  33.9","14","  16.9","14","1013.5","14","011.5","14","999.9"," 0"," 15.2","13"," 23.3","999.9","  35.6","*","  32.9","*"," 0.00","I","999.9","000000"
"01102599999","2019-01-01","65.3333333","7.3166667","80.0","HEIDRUN, NO","  37.8","24","  29.6","24","9999.9"," 0","999.9"," 0","  5.8","24"," 43.4","24"," 66.0"," 81.0","  42.8","*","  32.0","*","99.99"," ","999.9","010000"
"01105099999","2019-01-01","68.3666666","15.95","8.0","ROTVAER, NO","  30.7","24","  25.5","24","9999.9"," 0","999.9"," 0","999.9"," 0"," 20.5","24"," 31.1","999.9","  34.3"," ","  26.4","*"," 0.00","I","999.9","000000"
"01107099999","2019-01-01","67.5166667","12.1","4.0","ROST NOR AFB, NO","  37.3","24","  29.0","24"," 999.3","21","998.9","21","999.9"," 0"," 31.3","24"," 42.7"," 55.0","  41.7","*","  31.5","*"," 0.70","G","999.9","000000"
"01108099999","2019-01-01","65.7","11.85","9.1","VEGA VALLSJO, NO","  37.5","24","9999.9"," 0","1000.2","24","999.0","24","  6.5"," 4"," 23.9","23"," 36.9"," 50.1","  41.5"," ","  30.9","*"," 0.81","G","999.9","011000"
"01112099999","2019-01-01","65.461111","12.2175","7.62","BRONNOY, NO","  37.0","24","  29.2","24","9999.9"," 0","999.9"," 0","  6.2","24"," 18.0","24"," 35.0"," 48.0","  41.0","*","  32.0","*","99.99"," ","999.9","011000"
"01114099999","2019-01-01","66.9","13.6333333","8.0","REIPA, NO","  35.6","24","  25.9","24"," 999.5","24","998.5","24","999.9"," 0"," 14.5","23"," 23.3"," 43.3","  45.1"," ","  31.6","*"," 1.33","G","  0.4","011000"
"01115099999","2019-01-01","66.7666666","12.4833333","13.0","MYKEN, NO","  38.0","24","  28.5","24"," 999.0","24","996.9","24","999.9"," 0"," 30.4","24"," 44.7","999.9","  42.1","*","  32.4","*"," 0.49","G","999.9","000000"
"01116099999","2019-01-01","65.95","12.4666666","17.06","STOKKA, NO","  36.2","24","  29.3","24"," 993.9","11","991.8","11","  6.0","13"," 15.8","24"," 28.9"," 47.0","  39.7","*","  30.9","*","99.99"," ","999.9","011000"
"01117099999","2019-01-01","65.8166666","12.4166666","21.0","TJOTTA, NO","  36.2","24","  28.2","24","9999.9"," 0","999.9"," 0","999.9"," 0"," 11.1","24"," 20.6"," 42.5","  45.9"," ","  31.6","*"," 0.89","G","999.9","000000"
"01121099999","2019-01-01","66.3666666","12.6166666","10.0","SOLVAER III, NO","  37.6","24","  30.2","24"," 999.4","24","998.2","24","999.9"," 0"," 27.4","24"," 42.7","999.9","  41.0"," ","  32.9","*"," 0.00","I","999.9","000000"
"01122099999","2019-01-01","65.783997","13.214914","72.23","KJAERSTAD, NO","  34.1","24","  25.9","24"," 995.2","18","986.3","18","  6.2"," 6","  7.8","24"," 18.1"," 29.9","  38.8","*","  29.5","*"," 1.59","G","999.9","000000"
"01124099999","2019-01-01","64.1666666","12.4666666","195.0","SNASA, NO","  32.3","24","  28.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  36.0"," ","  23.4","*"," 0.98","G","999.9","000000"
"01132099999","2019-01-01","65.1666666","13.3666666","319.0","MAJAVATN V, NO","  29.2","24","  26.0","24"," 998.7","24","959.6","24","999.9"," 0","  4.3","19","  7.8","999.9","  33.4","*","  18.7","*"," 1.45","G"," 14.2","000000"
"01133099999","2019-01-01","65.6166666","13.2833333","50.0","LAKSFORS, NO","  30.7","24","  29.0","24","9999.9"," 0","999.9"," 0","999.9"," 0","  2.6","22","  3.9","999.9","  38.3","*","  21.7","*"," 1.30","G","  2.4","000000"
"01135099999","2019-01-01","66.1166666","13.5833333","123.0","SELJELIA, NO","  32.2","24","  26.1","24"," 998.8","24","983.6","24","999.9"," 0","  6.2","23"," 11.7"," 23.5","  35.6"," ","  25.7","*"," 1.66","G","  9.4","000000"
"01139099999","2019-01-01","67.65","12.7166666","4.0","VAEROY HELIPORT, NO","  37.2","24","  27.8","24","1000.4","22","999.9","22","999.9"," 0"," 24.5","24"," 35.0"," 40.6","  41.0","*","  32.9","*"," 0.00","I","999.9","000000"
"01141099999","2019-01-01","68.15","13.6166667","26.0","LEKNES, NO","  33.0","24","  24.8","24"," 991.6","12","988.6","12","  5.3","12"," 19.1","24"," 29.1"," 39.0","  36.7","*","  28.4","*"," 0.62","G","999.9","001000"
"01144099999","2019-01-01","67.4","13.8833333","24.0","HELLIGVAER II, NO","  35.8","24","  28.0","24","9999.9"," 0","999.9"," 0","999.9"," 0"," 27.4","24"," 36.9","999.9","  41.9","*","  30.6","*"," 0.00","I","999.9","000000"
"01146099999","2019-01-01","66.2333333","13.8833333","5.0","SKAMDAL, NO","  32.7","24","  27.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  4.8","24"," 13.6","999.9","  37.9","*","  25.9","*"," 1.80","G","999.9","000000"
"01147099999","2019-01-01","65.8333333","14.1833333","406.0","VARNTRESK, NO","  29.7","24","  22.8","24","9999.9"," 0","999.9"," 0","999.9"," 0","  5.0","20","  7.8","999.9","  33.1","*","  23.5","*"," 1.56","G","999.9","000000"
"01148099999","2019-01-01","66.3833333","14.5166666","110.0","STORFORSHEI, NO","  30.4","24","  24.9","24","9999.9"," 0","999.9"," 0","999.9"," 0","  4.6","23","  9.7","999.9","  35.2"," ","  16.9","*"," 0.00","I"," 18.5","000000"
"01150099999","2019-01-01","66.5","14.95","251.0","HJARTASEN, NO","  29.1","24","  23.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","  5.7","24"," 11.7","999.9","  33.3","*","  20.3","*"," 1.04","G"," 15.7","001000"
"01151099999","2019-01-01","66.3666666","14.3","70.0","MOIRANA, NO","  30.4","24","  26.1","24"," 983.6"," 9","975.1"," 9","  6.1","15","  5.3","24"," 15.9"," 26.0","  35.6","*","  18.5","*","99.99"," ","999.9","011000"
"01152099999","2019-01-01","67.269167","14.365278","12.8","BODO, NO","  34.5","24","  26.3","24","9999.9"," 0","999.9"," 0","  6.2","24"," 17.9","24"," 29.9"," 40.0","  41.0","*","  28.4","*"," 1.63","G","999.9","011000"
"01156099999","2019-01-01","68.6","14.4333333","7.55","BO I VESTERALEN, NO","  32.1","24","  24.9","24","1002.0","24","001.0","24","999.9"," 0"," 14.9","24"," 23.7"," 36.9","  35.6"," ","  28.0"," "," 0.16","G","999.9","000000"
"01158099999","2019-01-01","67.1666666","15.4833333","8.0","SETSA, NO","  30.7","24","  25.1","24"," 999.1","24","998.2","24","999.9"," 0","999.9"," 0","999.9","999.9","  39.0","*","  21.7","*"," 0.73","G","999.9","000000"
"01160099999","2019-01-01","68.15","14.65","11.0","SKROVA FYR, NO","  33.4","24","  25.9","24","1000.5","24","999.2","24","999.9"," 0"," 17.8","23"," 29.1"," 40.4","  37.9"," ","  28.6","*"," 0.00","I","999.9","000000"
"01161099999","2019-01-01","68.25","14.6666667","9.0","SVOLVAER HELLE, NO","  31.3","24","  25.0","24"," 993.5","14","992.4","14","  4.4","10"," 17.6","24"," 33.0"," 44.1","  35.6","*","  26.6","*","99.99"," ","999.9","001000"
"01162099999","2019-01-01","68.5833333","15.0166667","3.0","STORKMARKNES SKAGEN, NO","  30.9","24","  22.9","24"," 993.9","13","993.4","13","  4.5","11"," 10.4","24"," 21.4"," 27.0","  35.6","*","  23.0","*","99.99"," ","999.9","001000"
"01167099999","2019-01-01","68.7","15.4166666","3.0","SORTLAND, NO","  33.3"," 7","  29.6"," 5","1002.3"," 7","001.7"," 7"," 24.4"," 7"," 18.6"," 7"," 29.1","999.9","  37.2"," ","  30.0","*"," 0.20","G","  5.9","001000"
"01169099999","2019-01-01","66.9333333","15.3166666","37.0","SALTDAL NORDNES, NO","  26.7","24","  25.4","24"," 999.0","24","994.3","24","999.9"," 0","999.9"," 0","999.9","999.9","  32.7","*","  14.4","*"," 0.39","G","  6.7","000000"
"01180099999","2019-01-01","68.8","16.5333333","45.0","HARSTAD, NO","  30.2","24","  22.4","24","1001.3","24","995.5","24","999.9"," 0"," 11.4","24"," 17.5","999.9","  33.3"," ","  27.1","*"," 0.24","G","999.9","000000"
"01183099999","2019-01-01","68.4913","16.678108","25.6","EVENES, NO","  27.3","24","  21.5","24","9999.9"," 0","999.9"," 0","  5.0","23","  7.6","24"," 20.0"," 34.0","  31.1"," ","  23.0","*","99.99"," ","999.9","001000"
"01192099999","2019-01-01","68.4166666","17.65","200.0","STRAUMSNES, NO","  24.4","24","  17.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","  4.5","24","  9.7"," 17.7","  27.0"," ","  20.3","*"," 0.21","G"," 22.0","000000"
"01198099999","2019-01-01","68.7833333","19.7","204.0","DIVIDALEN II, NO","  18.1","24","  14.7","24","1001.1","24","975.3","24","999.9"," 0","999.9"," 0","999.9","999.9","  24.3"," ","  11.5","*"," 0.04","G","999.9","000000"
"01199099999","2019-01-01","68.75","23.5333333","382.0","SIHCCAJAVRI, NO","  15.6","24","  12.7","24"," 998.7","24","950.7","24","999.9"," 0"," 11.4","22"," 21.4"," 23.7","  22.1"," ","   3.7","*"," 0.06","G","999.9","000000"
"01203099999","2019-01-01","62.0333333","4.9833333","41.0","KRAKENES, NO","  39.9","24","  33.8","24","1013.4","24","008.5","24","999.9"," 0"," 39.5","24"," 54.4"," 60.0","  43.3","*","  36.7","*"," 0.00","I","999.9","000000"
"01205099999","2019-01-01","62.3333333","5.2666666","37.17","SVINOY LH, NO","  40.5","24","  33.2","24","1012.6","24","008.0","24","999.9"," 0"," 36.4","24"," 48.6","999.9","  44.6","*","  37.8","*"," 0.00","I","999.9","000000"
"01209099999","2019-01-01","62.1833333","6.0666667","74.0","ORSTA VOLDA HOVDEN, NO","  39.1","24","  28.9","24","1004.4","13","995.3","13","  6.0","10"," 11.3","23"," 17.5"," 49.9","  43.0","*","  35.6","*","99.99"," ","999.9","011000"
"01210099999","2019-01-01","62.560372","6.110164","21.03","VIGRA, NO","  40.5","24","  32.6","24","9999.9"," 0","999.9"," 0","  5.8","24"," 23.9","24"," 31.1"," 51.1","  44.6","*","  35.6","*"," 1.15","G","999.9","011000"
"01212099999","2019-01-01","62.8666666","6.5333333","15.0","ONA II, NO","  40.4","24","  32.6","24","1010.0","24","008.2","24","999.9"," 0"," 37.1","23"," 48.6","999.9","  44.1","*","  34.7","*"," 0.00","I","999.9","000000"
"01214099999","2019-01-01","62.65","6.7666666","43.0","REKDAL, NO","  39.5","24","  29.5","24","9999.9"," 0","999.9"," 0","999.9"," 0"," 12.6","24"," 25.3"," 27.6","  43.2","*","  35.1","*"," 0.00","I","999.9","000000"
"01217099999","2019-01-01","62.744722","7.2625","3.04","ARO, NO","  39.1","24","  30.8","24","9999.9"," 0","999.9"," 0","  4.9","24"," 18.3","24"," 27.2"," 51.1","  42.8","*","  33.8","*","99.99"," ","999.9","011010"
"01218099999","2019-01-01","62.2333333","7.4166666","17.0","TAFJORD, NO","  37.5","24","  31.5","24","1008.9","24","006.8","24","999.9"," 0"," 10.2","24"," 15.5","999.9","  42.3"," ","  33.3","*"," 1.09","G","999.9","000000"
"01220099999","2019-01-01","62.45","7.7666666","1294.0","MANNEN, NO","  21.3","24","  20.1","24","9999.9"," 0","999.9"," 0","999.9"," 0"," 10.2","24"," 19.4"," 23.3","  25.5","*","  16.5","*"," 0.79","G","999.9","000000"
"01221099999","2019-01-01","63.05","9.0833333","415.0","TAGDALEN, NO","  31.4","24","  26.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  36.0"," ","  27.3","*"," 1.69","G","999.9","000000"
